"GSSN";"Municipio";"UF";"Latitude";"Longitude"
"GS0003164";"PORTO ALEGRE";"RS";"-29,973875";"-51,17692"
"GS0043890";"PELOTAS";"RS";"-31,732629";"-52,389668"
"GS0048000";"NOVO HAMBURGO";"RS";"-29,659566";"-51,138767"
"GS00105202";"SÃO PAULO";"SP";"-23,517441";"-46,579507"
"GS0016459";"CAMPINAS";"SP";"-22,847143";"-47,091476"
"GS0049230";"ITUMBIARA";"GO";"-18,366497";"-49,21286"
"GS0029186";"VILHENA";"RO";"-12,742985";"-60,121608"
"GS00110604";"TANGARÁ DA SERRA";"MT";"-14,62998";"-57,520047"
"GS0026631";"UNIÃO DA VITÓRIA";"PR";"-26,1975";"-51,05226"
"GS00110553";"RIO DO SUL";"SC";"-27,20663";"-49,64838"
"GS0003274";"SALVADOR";"BA";"-12,88054";"-38,43415"
"GS0026632";"MAFRA";"SC";"-26,1523";"-49,83231"
"GS0037284";"CACHOEIRO DE ITAPEMIRIM";"ES";"-20,9258";"-41,07956"
"GS0003245";"GOVERNADOR VALADARES";"MG";"-18,90266";"-41,94502"
"GS0003123";"TIMÓTEO";"MG";"-19,5273";"-42,64181"
"GS0016468";"CARIACICA";"ES";"-18,90272";"-41,94494"
"GS00110606";"RONDONÓPOLIS";"MT";"-16,462072";"-54,660941"
"GS0003193";"RIO VERDE";"GO";"-17,78934";"-50,90628"
"GS0029099";"PORTO VELHO";"RO";"-8,774654";"-63,876737"
"GS00102119";"PALMAS";"TO";"-10,249689";"-48,314862"
"GS0078130";"ANÁPOLIS";"GO";"-16,37279";"-48,96348"
"GS0021190";"PARAUAPEBAS";"PA";"-6,059671";"-49,89744"
"GS00110605";"SINOP";"MT";"-11,864113";"-55,496611"
"GS0018102";"SANTARÉM";"PA";"-2,476238";"-54,729488"
"GS00110862";"APARECIDA DE GOIÂNIA";"GO";"-16,805394";"-49,238677"
"GS00110949";"BARRA DO GARÇAS";"MT";"-15,879987";"-52,282412"
"GS0003077";"JABOTICABAL";"SP";"-21,26626";"-48,327854"
"GS00105156";"PATOS";"PB";"-7,01961";"-37,25095"
"GS0003201";"PARNAMIRIM";"RN";"-5,874114";"-35,220815"
"GS0038801";"MOSSORÓ";"RN";"-5,135313";"-37,344569"
"GS0003206";"JOÃO PESSOA";"PB";"-7,171336";"-34,897466"
"GS0016456";"CAMPINA GRANDE";"PB";"-7,276988";"-35,8990189"
"GS00111763";"UMUARAMA";"PR";"-23,778193";"-53,291051"
"GS0003172";"CHAPECÓ";"SC";"-27,095522";"-52,638465"
"GS0091745";"LAGES";"SC";"-27,8144";"-50,37073"
"GS0016477";"GUARAPUAVA";"PR";"-25,36781";"-51,49472"
"GS0003285";"CASCAVEL";"PR";"-24,96786";"-53,40162"
"GS0061703";"XANXERÊ";"SC";"-26,896669";"-52,464035"
"GS0081762";"TELÊMACO BORBA";"PR";"-24,316772";"-50,622832"
"GS0047999";"SÃO JOSÉ DOS PINHAIS";"PR";"-25,543086";"-49,1524227"
"GS00110128";"REGISTRO";"SP";"-24,518629";"-47,851793"
"GS0048009";"PONTA GROSSA";"PR";"-25,081194";"-50,193908"
"GS0011490";"JUNDIAÍ";"SP";"-23,163348";"-47,007916"
"GS0048011";"JOINVILLE";"SC";"-26,33109";"-48,86317"
"GS00110377";"JAGUARIAÍVA";"PR";"-24,252542";"-49,694673"
"GS00112190";"GUARAMIRIM";"SC";"-26,4665019";"-48,9592594"
"GS0048683";"CURITIBA";"PR";"-25,387122";"-49,203771"
"GS0061702";"CONCÓRDIA";"SC";"-27,256476";"-51,955096"
"GS00112189";"CAMPO LARGO";"PR";"-25,4340396";"-49,5253014"
"GS0016469";"LINHARES";"ES";"-19,40172";"-40,06098"
"GS00110983";"DOMINGOS MARTINS";"ES";"-20,364263";"-41,065475"
"GS0094476";"COLATINA";"ES";"-19,51883";"-40,64536"
"GS00111991";"PARAGOMINAS";"PA";"-3,108789";"-47,673121"
"GS0018104";"MARABÁ";"PA";"-5,344719";"-49,080906"
"GS0018105";"MACAPÁ";"AP";"0,040791";"-51,074207"
"GS0029187";"JI-PARANÁ";"RO";"-10,909763";"-61,929955"
"GS0003192";"JATAÍ";"GO";"-17,91788";"-51,72424"
"GS0003265";"JABOATÃO DOS GUARARAPES";"PE";"-8,17398";"-34,94246"
"GS0016478";"GUARULHOS";"SP";"-23,480908";"-46,534867"
"GS0003194";"FERNANDÓPOLIS";"SP";"-20,276227";"-50,225329"
"GS0003272";"FEIRA DE SANTANA";"BA";"-12,28936";"-39,01561"
"GS00110603";"CUIABÁ";"MT";"-15,66366";"-55,9647"
"GS0016470";"CARUARU";"PE";"-8,258297";"-35,976165"
"GS0042853";"CAMPO GRANDE";"MS";"-20,511867";"-54,602925"
"GS0018101";"ANANINDEUA";"PA";"-1,39246";"-48,41735"
"GS0016472";"SÃO JOSÉ DO RIO PRETO";"SP";"-20,835076";"-49,358542"
"GS0056282";"NOVO PROGRESSO";"PA";"-7,043987";"-55,413991"
"GS0018103";"IMPERATRIZ";"MA";"-5,482241";"-47,472544"
"GS0018106";"ARAGUAÍNA";"TO";"-7,17054";"-48,21338"
"GS0003085";"NOVA IGUAÇÚ";"RJ";"-22,763687";"-43,429374"
"GS0003216";"RIBEIRÃO PRETO";"SP";"-21,188236";"-47,782772"
"GS0031043";"FRANCA";"SP";"-20,567318";"-47,407639"
"GS0016492";"UBERABA";"MG";"-19,777658";"-47,929198"
"GS0020028";"TRÊS CORAÇÕES";"MG";"-21,66687";"-45,31856"
"GS0003133";"SÃO SEBASTIÃO DO PARAÍSO";"MG";"-20,904101";"-46,968462"
"GS0016486";"POUSO ALEGRE";"MG";"-22,2393";"-45,88044722"
"GS0062128";"PATOS DE MINAS";"MG";"-18,63567";"-46,4821"
"GS0003117";"FORMIGA";"MG";"-20,443933";"-45,45673"
"GS0016454";"ARAXÁ";"MG";"-19,559871";"-46,971735"
"GS0003254";"MURIAÉ";"MG";"-21,125498";"-42,38317"
"GS0003080";"LEOPOLDINA";"MG";"-21,546244";"-42,660921"
"GS0003214";"PIRACICABA";"SP";"-22,728226";"-47,6197414"
"GS0016482";"LIMEIRA";"SP";"-22,588813";"-47,371581"
"GS0003205";"CAMPINAS";"SP";"-22,887208";"-47,113042"
"GS0003209";"SÃO JOÃO DA BOA VISTA";"SP";"-21,99801";"-46,81557"
"GS0006492";"POÇOS DE CALDAS";"MG";"-21,806594";"-46,488985"
"GS00110459";"AVARÉ";"SP";"-23,075939";"-48,928294"
"GS0035212";"ARARAQUARA";"SP";"-21,78607";"-48,220188"
"GS0003066";"CATANDUVA";"SP";"-21,15354";"-48,99188"
"GS0021056";"BARRETOS";"SP";"-20,5789";"-48,58075"
"GS0003211";"CAMPO MOURÃO";"PR";"-24,02658";"-52,36545"
"GS0003293";"MONTES CLAROS";"MG";"-16,71749";"-43,84328"
"GS0003088";"RIO DE JANEIRO";"RJ";"-22,844352";"-43,249252"
"GS0003113";"JUIZ DE FORA";"MG";"-21,68116";"-43,44237"
"GS00111864";"UBÁ";"MG";"-21,12361";"-42,981543"
"GS0011992";"NOVA LIMA";"MG";"-20,085747";"-43,975914"
"GS0029682";"DIVINÓPOLIS";"MG";"-20,1205855";"-44,9138395"
"GS0003212";"CONTAGEM";"MG";"-19,961157";"-44,052236"
"GS00110554";"CONSELHEIRO LAFAIETE";"MG";"-20,647139";"-43,809133"
"GS0030133";"NOVA SANTA RITA";"RS";"-29,86158";"-51,25736"
"GS00106717";"SANTA MARIA";"RS";"-29,70523";"-53,79797"
"GS0051007";"GARIBALDI";"RS";"-29,21594";"-51,51825"
"GS00106242";"ENTRE-IJUIS";"RS";"-28,37855";"-54,26292"
"GS0003057";"CAXIAS DO SUL";"RS";"-29,19743";"-51,261839"
"GS0006483";"PICOS";"PI";"-7,08471";"-41,40953"
"GS0003082";"PETROLINA";"PE";"-9,39639";"-40,51472"
"GS0093144";"JUAZEIRO";"BA";"-9,45827";"-40,48655"
"GS0049346";"BARREIRAS";"BA";"-12,14038";"-44,93945"
"GS0019377";"ARCOVERDE";"PE";"-8,41831";"-37,07938"
"GS00111243";"URUÇUI";"PI";"-7,22883";"-44,50018"
"GS0006484";"TERESINA";"PI";"-5,15549";"-42,7727"
"GS00110126";"TANGUÁ";"RJ";"-22,7391";"-42,74286"
"GS0003099";"SÃO LUIS";"MA";"-2,59115";"-44,24521"
"GS0028920";"SÃO GONÇALO";"RJ";"-22,85078";"-43,02106"
"GS00105035";"PETRÓPOLIS";"RJ";"-22,43716";"-43,17849"
